Name, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness, Time
blas,4,50,50,50,220,88,80,1,5.9883e-05
blas parallel,4,50,50,50,220,88,80,1,0.00027109
kernel,4,50,50,50,220,88,80,1,0.000121365
kernel parallel,4,50,50,50,220,88,80,1,0.000284963
packing,4,50,50,50,220,88,80,1,0.000148643
packing parallel,4,50,50,50,220,88,80,1,0.000257424
blas,4,100,100,100,220,88,80,1,0.000987594
blas parallel,4,100,100,100,220,88,80,1,0.00040225
kernel,4,100,100,100,220,88,80,1,0.000587324
kernel parallel,4,100,100,100,220,88,80,1,0.000398533
packing,4,100,100,100,220,88,80,1,0.000589319
packing parallel,4,100,100,100,220,88,80,1,0.000466596
blas,4,250,250,250,220,88,80,1,0.00192346
blas parallel,4,250,250,250,220,88,80,1,0.00218200
kernel,4,250,250,250,220,88,80,1,0.00563303
kernel parallel,4,250,250,250,220,88,80,1,0.00188355
packing,4,250,250,250,220,88,80,1,0.00569744
packing parallel,4,250,250,250,220,88,80,1,0.00203937
blas,4,500,500,500,220,88,80,1,0.00547973
blas parallel,4,500,500,500,220,88,80,1,0.00984848
kernel,4,500,500,500,220,88,80,1,0.04389610
kernel parallel,4,500,500,500,220,88,80,1,0.01229100
packing,4,500,500,500,220,88,80,1,0.04051500
packing parallel,4,500,500,500,220,88,80,1,0.00835762
blas,4,1000,1000,1000,220,88,80,1,0.02969460
blas parallel,4,1000,1000,1000,220,88,80,1,0.04560220
kernel,4,1000,1000,1000,220,88,80,1,0.34180100
kernel parallel,4,1000,1000,1000,220,88,80,1,0.06023290
packing,4,1000,1000,1000,220,88,80,1,0.29834300
packing parallel,4,1000,1000,1000,220,88,80,1,0.04538660
blas,4,1500,1500,1500,220,88,80,1,0.09555030
blas parallel,4,1500,1500,1500,220,88,80,1,0.141381
kernel,4,1500,1500,1500,220,88,80,1,1.15557
kernel parallel,4,1500,1500,1500,220,88,80,1,0.188223
packing,4,1500,1500,1500,220,88,80,1,1.00132
packing parallel,4,1500,1500,1500,220,88,80,1,0.170954
blas,4,2000,2000,2000,220,88,80,1,0.221447
blas parallel,4,2000,2000,2000,220,88,80,1,0.331768
kernel,4,2000,2000,2000,220,88,80,1,5.13710
kernel parallel,4,2000,2000,2000,220,88,80,1,0.826359
packing,4,2000,2000,2000,220,88,80,1,2.40065
packing parallel,4,2000,2000,2000,220,88,80,1,0.412954
blas,4,2500,2500,2500,220,88,80,1,0.440413
blas parallel,4,2500,2500,2500,220,88,80,1,0.633401
kernel,4,2500,2500,2500,220,88,80,1,10.7941
kernel parallel,4,2500,2500,2500,220,88,80,1,2.04540
packing,4,2500,2500,2500,220,88,80,1,4.71407
packing parallel,4,2500,2500,2500,220,88,80,1,0.810431
blas,4,3000,3000,3000,220,88,80,1,0.703166
blas parallel,4,3000,3000,3000,220,88,80,1,1.08549
kernel,4,3000,3000,3000,220,88,80,1,17.1426
kernel parallel,4,3000,3000,3000,220,88,80,1,3.42833
packing,4,3000,3000,3000,220,88,80,1,8.10449
packing parallel,4,3000,3000,3000,220,88,80,1,1.39404
blas,4,3500,3500,3500,220,88,80,1,1.09795
blas parallel,4,3500,3500,3500,220,88,80,1,1.71483
kernel,4,3500,3500,3500,220,88,80,1,28.6625
kernel parallel,4,3500,3500,3500,220,88,80,1,5.71332
packing,4,3500,3500,3500,220,88,80,1,12.9151
packing parallel,4,3500,3500,3500,220,88,80,1,2.20464
blas,4,4000,4000,4000,220,88,80,1,1.58625
blas parallel,4,4000,4000,4000,220,88,80,1,2.55381
kernel,4,4000,4000,4000,220,88,80,1,38.7468
kernel parallel,4,4000,4000,4000,220,88,80,1,8.19810
packing,4,4000,4000,4000,220,88,80,1,19.4279
packing parallel,4,4000,4000,4000,220,88,80,1,3.29338
blas,4,5000,5000,5000,220,88,80,1,3.10504
blas parallel,4,5000,5000,5000,220,88,80,1,4.98264
kernel,4,5000,5000,5000,220,88,80,1,107.258
kernel parallel,4,5000,5000,5000,220,88,80,1,25.9118
packing,4,5000,5000,5000,220,88,80,1,38.4549
packing parallel,4,5000,5000,5000,220,88,80,1,5.96550
blas,4,6000,6000,6000,220,88,80,1,5.49239
blas parallel,4,6000,6000,6000,220,88,80,1,8.87695
kernel,4,6000,6000,6000,220,88,80,1,278.442
kernel parallel,4,6000,6000,6000,220,88,80,1,43.3054
packing,4,6000,6000,6000,220,88,80,1,67.0309
packing parallel,4,6000,6000,6000,220,88,80,1,10.4903
blas,4,7000,7000,7000,220,88,80,1,9.14672
blas parallel,4,7000,7000,7000,220,88,80,1,13.6415
kernel,4,7000,7000,7000,220,88,80,1,428.688
kernel parallel,4,7000,7000,7000,220,88,80,1,83.4817
packing,4,7000,7000,7000,220,88,80,1,108.444
packing parallel,4,7000,7000,7000,220,88,80,1,17.1546
blas,4,8000,8000,8000,220,88,80,1,12.7020
blas parallel,4,8000,8000,8000,220,88,80,1,20.3928
kernel,4,8000,8000,8000,220,88,80,1,870.652
kernel parallel,4,8000,8000,8000,220,88,80,1,121.983
packing,4,8000,8000,8000,220,88,80,1,161.535
packing parallel,4,8000,8000,8000,220,88,80,1,25.9805
